userid,courseid,course,rating,강원도,경상북도,경상남도,전라북도,전라남도,충청도,제주도,경기도,서울,인천,대전,부산,광주,울산,대구,물,나무,역사문화,특색,맛집여행,호캉스,감성카페(프랜차이즈 제외),애견동반ㅇ,봄,여름,가을,겨울
3,38,"남양주 산들소리 수목원, 파파그릴",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
3,39,"남양주 수종사, 두물머리",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
1,40,"인사동 쌈지길, 익선동 북촌한옥마을",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
4,41,"대구 가실성당, 매원마을, 왜관철교",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
4,42,"청남대, 문의문화재단지",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
4,43,"고성 만화방초, 상족암 군립공원",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
5,44,"애월 해수욕장, 이호테우 해변, 한담공원, 곽지해수욕장",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3,45,"가파도 청보리밭, 유채꽃밭",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,46,"도두동 무지개 해안도로, 도두등대 ",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
3,47,"평대 해변, 킨포크 테이블",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
5,48,"박물관은 살아있다, 믿거나말거나 박물관",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3,49,"보롬왓, 조랑말체험공원",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1,50,"새별오름, 방주교회, 송악산 둘레길, 한담해변",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
3,51,"성이시돌 목장, 우유부단 카페",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
3,52,"제주샘주, 이호테우 해수욕장",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
5,53,"본태 박물관, 물미술관, 수풍석박물관, 바람미술관",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
5,54,"함덕 해수욕장, 구들 책방, 다니쉬 카페",9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
7,55,"김영갑갤러리두모악, 고흐의 정원",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
6,56,"산방산 유채꽃, 차귀도 유람선",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,57,"함덕 서우봉, 함덕 해수욕장",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,58,대구 서문시장,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
3,58,대구 서문시장,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
5,58,대구 서문시장,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
5,59,대구 스파벨리,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
4,60,대구 근대골목,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0
1,61,"대구 근대골목,밥뎜",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0
3,61,"대구 근대골목,밥뎜",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0
3,62,"김광석 스토리하우스, 약령 시장, 삼화만두, 근대골목 단팥빵",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0
5,63,"청라언덕, 계산성당, 선교사 블레어 주택, 시인 이상화 고택",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0
3,63,"청라언덕, 계산성당, 선교사 블레어 주택, 시인 이상화 고택",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0
3,64,"관덕정 순교기념관, 대구 남산교회",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0
3,65,"계성 중학교, 서문시장, 구암서원 전통체험관",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0
7,66,"청라언덕, 시인 이상화 고택, 3.1운동길",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
7,67,"달성공원, 대구예술발전소, 계산성당, 창청춘맨숀, 삼성상회 옛터, 서문시장, 수성못",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0
7,68,"성당못, 현풍 닭칼국수,대구 신세계백화점, 화폐박물관, 고삐식당",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0
7,69,"김광석 거리, 방천시장, 동인정",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0
7,70,"대구이월드, 83타워, 서문시장 야시장",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
7,71,"해운대, 해운대 빛축제",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,,0,0,1,0,0,0,1
7,72,"광안리해변,영화의 거리, 데베이 101, 센텀 신세계, 전포 카페거리, 2인칭 시점",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
7,73,"사카나식당, 용두산 공원, 부산타워, 남포동 트리축제, 오커피, 한월식당",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1
7,74,"달성공원, 삼성상회터, 90계단, 3.1만세운동길, 대구제일교회",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0
4,75,앞산전망대,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0
5,75,앞산전망대,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0
7,75,앞산전망대,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0
3,75,앞산전망대,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
4,76,"팔공산 동화사, 통일약사대불",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
5,76,"팔공산 동화사, 통일약사대불",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
6,76,"팔공산 동화사, 통일약사대불",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
7,76,"팔공산 동화사, 통일약사대불",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
4,77,팔공산 갓바위,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0
5,77,팔공산 갓바위,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0
6,77,팔공산 갓바위,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0
7,77,팔공산 갓바위,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0
1,78,포항 포인트(Point) 카페,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1
3,78,포항 포인트(Point) 카페,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1
1,79,포항 메리툴린카투,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1
3,79,포항 메리툴린카투,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1
1,80,카페 로드 100,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1
3,80,카페로드 100,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1
